"","wavenumber","spectra"
"spectra150",1296,0.00366672682440114
"spectra151",1302,0.00751956755647613
"spectra152",1308,0.012369346734016
"spectra153",1314,0.0167830968143713
"spectra154",1320,0.019244960440318
"spectra155",1326,0.0197151055718665
"spectra156",1332,0.0188614856341671
"spectra157",1338,0.0168551923544528
"spectra158",1344,0.0139530180018346
"spectra159",1350,0.0108858052500832
"spectra160",1356,0.00889740059884371
"spectra161",1362,0.00865019706846521
"spectra162",1368,0.00997056963017494
"spectra163",1374,0.0124237209350877
"spectra164",1380,0.015071661352748
"spectra165",1386,0.0195626446874293
"spectra166",1392,0.02753218082601
"spectra167",1398,0.0402438591206305
"spectra168",1404,0.0560237162031464
"spectra169",1410,0.0735195942853744
"spectra170",1416,0.0884898219397922
"spectra171",1422,0.0982703040945154
"spectra172",1428,0.101997643551094
"spectra173",1434,0.0993654792372077
"spectra174",1440,0.0909910533259372
"spectra175",1446,0.0796514644688789
"spectra176",1452,0.0678847091263414
"spectra177",1458,0.058057287850692
"spectra178",1464,0.0497616920650973
"spectra179",1470,0.0431926423736943
"spectra180",1476,0.036143126854763
"spectra181",1482,0.0290223440463544
"spectra182",1488,0.0224259020863042
"spectra183",1494,0.0162123668722926
"spectra184",1500,0.0110330993935483
"spectra185",1506,0.00699648082949905
"spectra186",1512,0.00387984315947413
"spectra187",1518,0.00172686482060771
"spectra188",1524,0.000383251228003371
"spectra189",1530,0.000241228232653005
"spectra190",1536,0.000423175841243178
"spectra191",1542,0.000299193668645252
"spectra192",1548,7.75412638883139e-05
"spectra193",1554,0
"spectra194",1560,0
"spectra195",1566,0
"spectra196",1572,0
"spectra197",1578,0
"spectra198",1584,0
"spectra199",1590,0
"spectra200",1596,0
"spectra201",1602,0
"spectra202",1608,0
"spectra203",1614,0
"spectra204",1620,0
"spectra205",1626,0
"spectra206",1632,0
"spectra207",1638,0
"spectra208",1644,0
"spectra209",1650,0
"spectra210",1656,0
"spectra211",1662,0
"spectra212",1668,0
"spectra213",1674,0
"spectra214",1680,0
"spectra215",1686,0
"spectra216",1692,0
"spectra217",1698,0
"spectra218",1704,0
"spectra219",1710,0
"spectra220",1716,0
"spectra221",1722,0
"spectra222",1728,0
"spectra223",1734,0
"spectra224",1740,0
"spectra225",1746,0
"spectra226",1752,0
"spectra227",1758,0
"spectra228",1764,0
"spectra229",1770,0
"spectra230",1776,0
"spectra231",1782,0
"spectra232",1788,0
"spectra233",1794,0
"spectra234",1800,0
"spectra235",1806,0
"spectra236",1812,0
"spectra237",1818,0
"spectra238",1824,0
"spectra239",1830,0
"spectra240",1836,0
"spectra241",1842,0
"spectra242",1848,0
"spectra243",1854,0
"spectra244",1860,0
"spectra245",1866,0
"spectra246",1872,0
