"","wavenumber","spectra"
"5a5afc08b09efd35deccad142c167ebc195",1266,0.28
"5a5afc08b09efd35deccad142c167ebc196",1272,0.157
"5a5afc08b09efd35deccad142c167ebc197",1278,0.083
"5a5afc08b09efd35deccad142c167ebc198",1284,0.047
"5a5afc08b09efd35deccad142c167ebc199",1290,0.043
"5a5afc08b09efd35deccad142c167ebc200",1296,0.067
"5a5afc08b09efd35deccad142c167ebc201",1302,0.096
"5a5afc08b09efd35deccad142c167ebc202",1308,0.127
"5a5afc08b09efd35deccad142c167ebc203",1314,0.166
"5a5afc08b09efd35deccad142c167ebc204",1320,0.223
"5a5afc08b09efd35deccad142c167ebc205",1326,0.264
"5a5afc08b09efd35deccad142c167ebc206",1332,0.256
"5a5afc08b09efd35deccad142c167ebc207",1338,0.18
"5a5afc08b09efd35deccad142c167ebc208",1344,0.082
"5a5afc08b09efd35deccad142c167ebc209",1350,0.059
"5a5afc08b09efd35deccad142c167ebc210",1356,0.057
"5a5afc08b09efd35deccad142c167ebc211",1362,0.036
"5a5afc08b09efd35deccad142c167ebc212",1368,0.015
"5a5afc08b09efd35deccad142c167ebc213",1374,0.009
"5a5afc08b09efd35deccad142c167ebc214",1380,0.006
"5a5afc08b09efd35deccad142c167ebc215",1386,0
"5a5afc08b09efd35deccad142c167ebc216",1392,0
"5a5afc08b09efd35deccad142c167ebc217",1398,0
"5a5afc08b09efd35deccad142c167ebc218",1404,0
"5a5afc08b09efd35deccad142c167ebc219",1410,0.059
"5a5afc08b09efd35deccad142c167ebc220",1416,0.187
"5a5afc08b09efd35deccad142c167ebc221",1422,0.346
"5a5afc08b09efd35deccad142c167ebc222",1428,0.413
"5a5afc08b09efd35deccad142c167ebc223",1434,0.34
"5a5afc08b09efd35deccad142c167ebc224",1440,0.173
"5a5afc08b09efd35deccad142c167ebc225",1446,0.024
"5a5afc08b09efd35deccad142c167ebc226",1452,0
"5a5afc08b09efd35deccad142c167ebc227",1458,0
"5a5afc08b09efd35deccad142c167ebc228",1464,0
"5a5afc08b09efd35deccad142c167ebc229",1470,0
