"","wavenumber","spectra"
"1beb1205d19ec8968a7325c3bd5c983f159",1050,0.002
"1beb1205d19ec8968a7325c3bd5c983f160",1056,0.002
"1beb1205d19ec8968a7325c3bd5c983f161",1062,0.002
"1beb1205d19ec8968a7325c3bd5c983f162",1068,0.001
"1beb1205d19ec8968a7325c3bd5c983f163",1074,0.001
"1beb1205d19ec8968a7325c3bd5c983f164",1080,0.001
"1beb1205d19ec8968a7325c3bd5c983f165",1086,0.001
"1beb1205d19ec8968a7325c3bd5c983f166",1092,0.001
"1beb1205d19ec8968a7325c3bd5c983f167",1098,0
"1beb1205d19ec8968a7325c3bd5c983f168",1104,0
"1beb1205d19ec8968a7325c3bd5c983f169",1110,0
"1beb1205d19ec8968a7325c3bd5c983f170",1116,0
"1beb1205d19ec8968a7325c3bd5c983f171",1122,0
"1beb1205d19ec8968a7325c3bd5c983f172",1128,0
"1beb1205d19ec8968a7325c3bd5c983f173",1134,0
"1beb1205d19ec8968a7325c3bd5c983f174",1140,0
"1beb1205d19ec8968a7325c3bd5c983f175",1146,0
"1beb1205d19ec8968a7325c3bd5c983f176",1152,0
"1beb1205d19ec8968a7325c3bd5c983f177",1158,0
"1beb1205d19ec8968a7325c3bd5c983f178",1164,0
"1beb1205d19ec8968a7325c3bd5c983f179",1170,0
"1beb1205d19ec8968a7325c3bd5c983f180",1176,0
"1beb1205d19ec8968a7325c3bd5c983f181",1182,0
"1beb1205d19ec8968a7325c3bd5c983f182",1188,0
"1beb1205d19ec8968a7325c3bd5c983f183",1194,0
"1beb1205d19ec8968a7325c3bd5c983f184",1200,0
"1beb1205d19ec8968a7325c3bd5c983f185",1206,0
"1beb1205d19ec8968a7325c3bd5c983f186",1212,0
"1beb1205d19ec8968a7325c3bd5c983f187",1218,0
"1beb1205d19ec8968a7325c3bd5c983f188",1224,0
"1beb1205d19ec8968a7325c3bd5c983f189",1230,0
"1beb1205d19ec8968a7325c3bd5c983f190",1236,0
"1beb1205d19ec8968a7325c3bd5c983f191",1242,0
"1beb1205d19ec8968a7325c3bd5c983f192",1248,0
"1beb1205d19ec8968a7325c3bd5c983f193",1254,0
"1beb1205d19ec8968a7325c3bd5c983f194",1260,0
"1beb1205d19ec8968a7325c3bd5c983f195",1266,0
"1beb1205d19ec8968a7325c3bd5c983f196",1272,0
"1beb1205d19ec8968a7325c3bd5c983f197",1278,0
"1beb1205d19ec8968a7325c3bd5c983f198",1284,0
